300,420
171.013,83.9874,254.995
171.621,83.3788,254.995
172.23,82.7702,254.995
172.838,82.1617,254.995
173.447,81.5531,254.995
174.055,80.9445,254.995
174.664,80.336,254.995
175.273,79.7274,254.995
175.881,79.1188,254.995
176.49,78.5103,254.995
177.098,77.9017,254.995
177.707,77.2931,254.995
178.315,76.6846,254.995
178.924,76.076,254.995
179.533,75.4674,254.995
180.141,74.8589,254.995
180.75,74.2503,254.995
181.358,73.6417,254.995
181.967,73.0332,254.995
182.575,72.4246,254.995
183.184,71.816,254.995
183.793,71.2075,254.995
184.401,70.5989,254.995
185.01,69.9903,254.995
185.618,69.3818,254.995
186.227,68.7732,254.995
186.835,68.1646,254.995
187.444,67.556,254.995
188.053,66.9475,254.995
188.661,66.3389,254.995
189.27,65.7303,254.995
189.878,65.1218,254.995
190.487,64.5132,254.995
191.095,63.9046,254.995
191.704,63.2961,254.995
192.312,62.6875,254.995
192.921,62.0789,254.995
193.53,61.4704,254.995
194.138,60.8618,254.995
194.747,60.2532,254.995
195.355,59.6447,254.995
195.964,59.0361,254.995
196.572,58.4275,254.995
197.181,57.819,254.995
197.79,57.2104,254.995
198.398,56.6018,254.995
199.007,55.9933,254.995
199.615,55.3847,254.995
200.224,54.7761,254.995
200.832,54.1676,254.995
201.441,53.559,254.995
202.05,52.9504,254.995
202.658,52.3419,254.995
203.267,51.7333,254.995
203.875,51.1247,254.995
204.484,50.5161,254.995
205.092,49.9076,254.995
205.701,49.299,254.995
206.31,48.6904,254.995
206.918,48.0819,254.995
207.527,47.4733,254.995
208.135,46.8647,254.995
208.744,46.2562,254.995
209.352,45.6476,254.995
209.961,45.039,254.995
210.57,44.4305,254.995
211.178,43.8219,254.995
211.787,43.2133,254.995
212.395,42.6048,254.995
213.004,41.9962,254.995
213.612,41.3876,254.995
214.221,40.7791,254.995
214.83,40.1705,254.995
215.438,39.5619,254.995
216.047,38.9534,254.995
216.655,38.3448,254.995
217.264,37.7362,254.995
217.872,37.1276,254.995
218.481,36.5191,254.995
219.089,35.9105,254.995
219.698,35.3019,254.995
220.307,34.6934,254.995
220.915,34.0848,254.995
221.524,33.4762,254.995
222.132,32.8677,254.995
222.741,32.2591,254.995
223.349,31.6505,254.995
223.958,31.042,254.995
224.567,30.4334,254.995
225.175,29.8248,254.995
225.784,29.2163,254.995
226.392,28.6077,254.995
227.001,27.9991,254.995
227.609,27.3906,254.995
228.218,26.782,254.995
228.827,26.1734,254.995
229.435,25.5649,254.995
230.044,24.9563,254.995
230.652,24.3477,254.995
231.261,23.7392,254.995
231.869,23.1306,254.995
232.478,22.522,254.995
233.087,21.9135,254.995
233.695,21.3049,254.995
234.304,20.6963,254.995
234.912,20.0878,254.995
235.521,19.4792,254.995
236.129,18.8706,254.995
236.738,18.262,254.995
237.347,17.6535,254.995
237.955,17.0449,254.995
238.564,16.4363,254.995
239.172,15.8278,254.995
239.781,15.2192,254.995
240.389,14.6106,254.995
240.998,14.0021,254.995
241.607,13.3935,254.995
242.215,12.7849,254.995
242.824,12.1764,254.995
243.432,11.5678,254.995
244.041,10.9592,254.995
244.649,10.3507,254.995
245.258,9.74208,254.995
245.866,9.13351,254.995
246.475,8.52495,254.995
247.084,7.91638,254.995
247.692,7.30782,254.995
248.301,6.69925,254.995
248.909,6.09068,254.995
249.518,5.48212,254.995
250.126,4.87355,254.995
250.735,4.26498,254.995
251.344,3.65642,254.995
251.952,3.04784,254.995
252.561,2.43927,254.995
253.169,1.8307,254.995
253.778,1.22214,254.995
254.386,0.613571,254.995
254.995,0.00500488,254.995
0.005,254.995,254.142
0.613568,254.386,254.142
1.22214,253.778,254.142
1.8307,253.169,254.142
2.43927,252.561,254.142
3.04784,251.952,254.142
3.65641,251.344,254.142
4.26498,250.735,254.142
4.87354,250.126,254.142
5.48211,249.518,254.142
6.09068,248.909,254.142
6.69925,248.301,254.142
7.30782,247.692,254.142
7.91638,247.084,254.142
8.52495,246.475,254.142
9.13352,245.866,254.142
9.74209,245.258,254.142
10.3507,244.649,254.142
10.9592,244.041,254.142
11.5678,243.432,254.142
12.1764,242.824,254.142
12.7849,242.215,254.142
13.3935,241.607,254.142
14.0021,240.998,254.142
14.6106,240.389,254.142
15.2192,239.781,254.142
15.8278,239.172,254.142
16.4363,238.564,254.142
17.0449,237.955,254.142
17.6535,237.347,254.142
18.262,236.738,254.142
18.8706,236.129,254.142
19.4792,235.521,254.142
20.0877,234.912,254.142
20.6963,234.304,254.142
21.3049,233.695,254.142
21.9134,233.087,254.142
22.522,232.478,254.142
23.1306,231.869,254.142
23.7392,231.261,254.142
24.3477,230.652,254.142
24.9563,230.044,254.142
25.5649,229.435,254.142
26.1734,228.827,254.142
26.782,228.218,254.142
27.3906,227.609,254.142
27.9991,227.001,254.142
28.6077,226.392,254.142
29.2163,225.784,254.142
29.8248,225.175,254.142
30.4334,224.567,254.142
31.042,223.958,254.142
31.6505,223.349,254.142
32.2591,222.741,254.142
32.8677,222.132,254.142
33.4762,221.524,254.142
34.0848,220.915,254.142
34.6934,220.307,254.142
35.3019,219.698,254.142
35.9105,219.089,254.142
36.5191,218.481,254.142
37.1277,217.872,254.142
37.7362,217.264,254.142
38.3448,216.655,254.142
38.9534,216.047,254.142
39.5619,215.438,254.142
40.1705,214.83,254.142
40.7791,214.221,254.142
41.3876,213.612,254.142
41.9962,213.004,254.142
42.6048,212.395,254.142
43.2133,211.787,254.142
43.8219,211.178,254.142
44.4305,210.57,254.142
45.039,209.961,254.142
45.6476,209.352,254.142
46.2562,208.744,254.142
46.8647,208.135,254.142
47.4733,207.527,254.142
48.0819,206.918,254.142
48.6904,206.31,254.142
49.299,205.701,254.142
49.9076,205.092,254.142
50.5161,204.484,254.142
51.1247,203.875,254.142
51.7333,203.267,254.142
52.3418,202.658,254.142
52.9504,202.05,254.142
53.559,201.441,254.142
54.1676,200.832,254.142
54.7761,200.224,254.142
55.3847,199.615,254.142
55.9933,199.007,254.142
56.6018,198.398,254.142
57.2104,197.79,254.142
57.819,197.181,254.142
58.4275,196.572,254.142
59.0361,195.964,254.142
59.6447,195.355,254.142
60.2532,194.747,254.142
60.8618,194.138,254.142
61.4704,193.53,254.142
62.0789,192.921,254.142
62.6875,192.312,254.142
63.2961,191.704,254.142
63.9046,191.095,254.142
64.5132,190.487,254.142
65.1218,189.878,254.142
65.7303,189.27,254.142
66.3389,188.661,254.142
66.9475,188.053,254.142
67.5561,187.444,254.142
68.1646,186.835,254.142
68.7732,186.227,254.142
69.3818,185.618,254.142
69.9903,185.01,254.142
70.5989,184.401,254.142
71.2075,183.793,254.142
71.816,183.184,254.142
72.4246,182.575,254.142
73.0332,181.967,254.142
73.6417,181.358,254.142
74.2503,180.75,254.142
74.8589,180.141,254.142
75.4674,179.533,254.142
76.076,178.924,254.142
76.6846,178.315,254.142
77.2931,177.707,254.142
77.9017,177.098,254.142
78.5103,176.49,254.142
79.1188,175.881,254.142
79.7274,175.273,254.142
80.336,174.664,254.142
80.9445,174.055,254.142
81.5531,173.447,254.142
82.1617,172.838,254.142
82.7702,172.23,254.142
83.3788,171.621,254.142
83.9874,171.013,254.142
84.596,170.404,254.142
85.2045,169.795,254.142
85.8131,169.187,254.142
86.4217,168.578,254.142
87.0302,167.97,254.142
87.6388,167.361,254.142
88.2474,166.753,254.142
88.8559,166.144,254.142
89.4645,165.535,254.142
90.0731,164.927,254.142
90.6816,164.318,254.142
91.2902,163.71,254.142
91.8988,163.101,254.142
92.5073,162.493,254.142
93.1159,161.884,254.142
93.7245,161.276,254.142
94.333,160.667,254.142
94.9416,160.058,254.142
95.5502,159.45,254.142
96.1587,158.841,254.142
96.7673,158.233,254.142
97.3759,157.624,254.142
97.9845,157.016,254.142
98.593,156.407,254.142
99.2016,155.798,254.142
99.8102,155.19,254.142
100.419,154.581,254.142
101.027,153.973,254.142
101.636,153.364,254.142
102.244,152.756,254.142
102.853,152.147,254.142
103.462,151.538,254.142
104.07,150.93,254.142
104.679,150.321,254.142
105.287,149.713,254.142
105.896,149.104,254.142
106.504,148.496,254.142
107.113,147.887,254.142
107.722,147.278,254.142
108.33,146.67,254.142
108.939,146.061,254.142
109.547,145.453,254.142
110.156,144.844,254.142
110.764,144.236,254.142
111.373,143.627,254.142
111.982,143.018,254.142
112.59,142.41,254.142
113.199,141.801,254.142
113.807,141.193,254.142
114.416,140.584,254.142
115.024,139.976,254.142
115.633,139.367,254.142
116.241,138.759,254.142
116.85,138.15,254.142
117.459,137.541,254.142
118.067,136.933,254.142
118.676,136.324,254.142
119.284,135.716,254.142
119.893,135.107,254.142
120.501,134.499,254.142
121.11,133.89,254.142
121.719,133.281,254.142
122.327,132.673,254.142
122.936,132.064,254.142
123.544,131.456,254.142
124.153,130.847,254.142
124.761,130.239,254.142
125.37,129.63,254.142
125.979,129.021,254.142
126.587,128.413,254.142
127.196,127.804,254.142
127.804,127.196,254.142
128.413,126.587,254.142
129.021,125.979,254.142
129.63,125.37,254.142
130.239,124.761,254.142
130.847,124.153,254.142
131.456,123.544,254.142
132.064,122.936,254.142
132.673,122.327,254.142
133.281,121.719,254.142
133.89,121.11,254.142
134.499,120.501,254.142
135.107,119.893,254.142
135.716,119.284,254.142
136.324,118.676,254.142
136.933,118.067,254.142
137.541,117.459,254.142
138.15,116.85,254.142
138.758,116.242,254.142
139.367,115.633,254.142
139.976,115.024,254.142
140.584,114.416,254.142
141.193,113.807,254.142
141.801,113.199,254.142
142.41,112.59,254.142
143.018,111.982,254.142
143.627,111.373,254.142
144.236,110.764,254.142
144.844,110.156,254.142
145.453,109.547,254.142
146.061,108.939,254.142
146.67,108.33,254.142
147.278,107.722,254.142
147.887,107.113,254.142
148.496,106.504,254.142
149.104,105.896,254.142
149.713,105.287,254.142
150.321,104.679,254.142
150.93,104.07,254.142
151.538,103.462,254.142
152.147,102.853,254.142
152.756,102.244,254.142
153.364,101.636,254.142
153.973,101.027,254.142
154.581,100.419,254.142
155.19,99.8102,254.142
155.798,99.2016,254.142
156.407,98.593,254.142
157.016,97.9845,254.142
157.624,97.3759,254.142
158.233,96.7673,254.142
158.841,96.1588,254.142
159.45,95.5502,254.142
160.058,94.9416,254.142
160.667,94.3331,254.142
161.276,93.7245,254.142
161.884,93.1159,254.142
162.493,92.5073,254.142
163.101,91.8988,254.142
163.71,91.2902,254.142
164.318,90.6816,254.142
164.927,90.0731,254.142
165.536,89.4645,254.142
166.144,88.8559,254.142
166.753,88.2474,254.142
167.361,87.6388,254.142
167.97,87.0302,254.142
168.578,86.4217,254.142
169.187,85.8131,254.142
169.795,85.2045,254.142
170.404,84.5959,254.142
171.013,83.9874,254.142
171.621,83.3788,254.142
172.23,82.7702,254.142
172.838,82.1617,254.142
173.447,81.5531,254.142
174.055,80.9445,254.142
174.664,80.336,254.142
175.273,79.7274,254.142
175.881,79.1188,254.142
176.49,78.5103,254.142
177.098,77.9017,254.142
177.707,77.2931,254.142
178.315,76.6846,254.142
178.924,76.076,254.142
179.533,75.4674,254.142
180.141,74.8589,254.142
180.75,74.2503,254.142
181.358,73.6417,254.142
181.967,73.0332,254.142
182.575,72.4246,254.142
183.184,71.816,254.142
183.793,71.2075,254.142
184.401,70.5989,254.142
185.01,69.9903,254.142
185.618,69.3818,254.142
186.227,68.7732,254.142
186.835,68.1646,254.142
187.444,67.556,254.142
188.053,66.9475,254.142
188.661,66.3389,254.142
189.27,65.7303,254.142
189.878,65.1218,254.142
190.487,64.5132,254.142
191.095,63.9046,254.142
191.704,63.2961,254.142
192.312,62.6875,254.142
192.921,62.0789,254.142
193.53,61.4704,254.142
194.138,60.8618,254.142
194.747,60.2532,254.142
195.355,59.6447,254.142
195.964,59.0361,254.142
196.572,58.4275,254.142
197.181,57.819,254.142
197.79,57.2104,254.142
198.398,56.6018,254.142
199.007,55.9933,254.142
199.615,55.3847,254.142
200.224,54.7761,254.142
200.832,54.1676,254.142
201.441,53.559,254.142
202.05,52.9504,254.142
202.658,52.3419,254.142
203.267,51.7333,254.142
203.875,51.1247,254.142
204.484,50.5161,254.142
205.092,49.9076,254.142
205.701,49.299,254.142
206.31,48.6904,254.142
206.918,48.0819,254.142
207.527,47.4733,254.142
208.135,46.8647,254.142
208.744,46.2562,254.142
209.352,45.6476,254.142
209.961,45.039,254.142
210.57,44.4305,254.142
211.178,43.8219,254.142
211.787,43.2133,254.142
212.395,42.6048,254.142
213.004,41.9962,254.142
213.612,41.3876,254.142
214.221,40.7791,254.142
214.83,40.1705,254.142
215.438,39.5619,254.142
216.047,38.9534,254.142
216.655,38.3448,254.142
217.264,37.7362,254.142
217.872,37.1276,254.142
218.481,36.5191,254.142
219.089,35.9105,254.142
219.698,35.3019,254.142
220.307,34.6934,254.142
220.915,34.0848,254.142
221.524,33.4762,254.142
222.132,32.8677,254.142
222.741,32.2591,254.142
223.349,31.6505,254.142
223.958,31.042,254.142
224.567,30.4334,254.142
225.175,29.8248,254.142
225.784,29.2163,254.142
226.392,28.6077,254.142
227.001,27.9991,254.142
227.609,27.3906,254.142
228.218,26.782,254.142
228.827,26.1734,254.142
229.435,25.5649,254.142
230.044,24.9563,254.142
230.652,24.3477,254.142
231.261,23.7392,254.142
231.869,23.1306,254.142
232.478,22.522,254.142
233.087,21.9135,254.142
233.695,21.3049,254.142
234.304,20.6963,254.142
234.912,20.0878,254.142
235.521,19.4792,254.142
236.129,18.8706,254.142
236.738,18.262,254.142
237.347,17.6535,254.142
237.955,17.0449,254.142
238.564,16.4363,254.142
239.172,15.8278,254.142
239.781,15.2192,254.142
240.389,14.6106,254.142
240.998,14.0021,254.142
241.607,13.3935,254.142
242.215,12.7849,254.142
242.824,12.1764,254.142
243.432,11.5678,254.142
244.041,10.9592,254.142
244.649,10.3507,254.142
245.258,9.74208,254.142
245.866,9.13351,254.142
246.475,8.52495,254.142
247.084,7.91638,254.142
247.692,7.30782,254.142
248.301,6.69925,254.142
248.909,6.09068,254.142
249.518,5.48212,254.142
250.126,4.87355,254.142
250.735,4.26498,254.142
251.344,3.65642,254.142
251.952,3.04784,254.142
252.561,2.43927,254.142
253.169,1.8307,254.142
253.778,1.22214,254.142
254.386,0.613571,254.142
254.995,0.00500488,254.142
0.005,254.995,253.289
0.613568,254.386,253.289
1.22214,253.778,253.289
1.8307,253.169,253.289
2.43927,252.561,253.289
3.04784,251.952,253.289
3.65641,251.344,253.289
4.26498,250.735,253.289
4.87354,250.126,253.289
5.48211,249.518,253.289
6.09068,248.909,253.289
6.69925,248.301,253.289
7.30782,247.692,253.289
7.91638,247.084,253.289
8.52495,246.475,253.289
9.13352,245.866,253.289
9.74209,245.258,253.289
10.3507,244.649,253.289
10.9592,244.041,253.289
11.5678,243.432,253.289
12.1764,242.824,253.289
12.7849,242.215,253.289
13.3935,241.607,253.289
14.0021,240.998,253.289
14.6106,240.389,253.289
15.2192,239.781,253.289
15.8278,239.172,253.289
16.4363,238.564,253.289
17.0449,237.955,253.289
17.6535,237.347,253.289
18.262,236.738,253.289
18.8706,236.129,253.289
19.4792,235.521,253.289
20.0877,234.912,253.289
20.6963,234.304,253.289
21.3049,233.695,253.289
21.9134,233.087,253.289
22.522,232.478,253.289
23.1306,231.869,253.289
23.7392,231.261,253.289
24.3477,230.652,253.289
24.9563,230.044,253.289
25.5649,229.435,253.289
26.1734,228.827,253.289
26.782,228.218,253.289
27.3906,227.609,253.289
27.9991,227.001,253.289
28.6077,226.392,253.289
29.2163,225.784,253.289
29.8248,225.175,253.289
30.4334,224.567,253.289
31.042,223.958,253.289
31.6505,223.349,253.289
32.2591,222.741,253.289
32.8677,222.132,253.289
33.4762,221.524,253.289
34.0848,220.915,253.289
34.6934,220.307,253.289
35.3019,219.698,253.289
35.9105,219.089,253.289
36.5191,218.481,253.289
37.1277,217.872,253.289
37.7362,217.264,253.289
38.3448,216.655,253.289
38.9534,216.047,253.289
39.5619,215.438,253.289
40.1705,214.83,253.289
40.7791,214.221,253.289
41.3876,213.612,253.289
41.9962,213.004,253.289
42.6048,212.395,253.289
43.2133,211.787,253.289
43.8219,211.178,253.289
44.4305,210.57,253.289
45.039,209.961,253.289
45.6476,209.352,253.289
46.2562,208.744,253.289
46.8647,208.135,253.289
47.4733,207.527,253.289
48.0819,206.918,253.289
48.6904,206.31,253.289
49.299,205.701,253.289
49.9076,205.092,253.289
50.5161,204.484,253.289
51.1247,203.875,253.289
51.7333,203.267,253.289
52.3418,202.658,253.289
52.9504,202.05,253.289
53.559,201.441,253.289
54.1676,200.832,253.289
54.7761,200.224,253.289
55.3847,199.615,253.289
55.9933,199.007,253.289
56.6018,198.398,253.289
57.2104,197.79,253.289
57.819,197.181,253.289
58.4275,196.572,253.289
59.0361,195.964,253.289
59.6447,195.355,253.289
60.2532,194.747,253.289
60.8618,194.138,253.289
61.4704,193.53,253.289
62.0789,192.921,253.289
62.6875,192.312,253.289
63.2961,191.704,253.289
63.9046,191.095,253.289
64.5132,190.487,253.289
65.1218,189.878,253.289
65.7303,189.27,253.289
66.3389,188.661,253.289
66.9475,188.053,253.289
67.5561,187.444,253.289
68.1646,186.835,253.289
68.7732,186.227,253.289
69.3818,185.618,253.289
69.9903,185.01,253.289
70.5989,184.401,253.289
71.2075,183.793,253.289
71.816,183.184,253.289
72.4246,182.575,253.289
73.0332,181.967,253.289
73.6417,181.358,253.289
74.2503,180.75,253.289
74.8589,180.141,253.289
75.4674,179.533,253.289
76.076,178.924,253.289
76.6846,178.315,253.289
77.2931,177.707,253.289
77.9017,177.098,253.289
78.5103,176.49,253.289
79.1188,175.881,253.289
79.7274,175.273,253.289
80.336,174.664,253.289
80.9445,174.055,253.289
81.5531,173.447,253.289
82.1617,172.838,253.289
82.7702,172.23,253.289
83.3788,171.621,253.289
83.9874,171.013,253.289
84.596,170.404,253.289
85.2045,169.795,253.289
85.8131,169.187,253.289
86.4217,168.578,253.289
87.0302,167.97,253.289
87.6388,167.361,253.289
88.2474,166.753,253.289
88.8559,166.144,253.289
89.4645,165.535,253.289
90.0731,164.927,253.289
90.6816,164.318,253.289
91.2902,163.71,253.289
91.8988,163.101,253.289
92.5073,162.493,253.289
93.1159,161.884,253.289
93.7245,161.276,253.289
94.333,160.667,253.289
94.9416,160.058,253.289
95.5502,159.45,253.289
96.1587,158.841,253.289
96.7673,158.233,253.289
97.3759,157.624,253.289
97.9845,157.016,253.289
98.593,156.407,253.289
99.2016,155.798,253.289
99.8102,155.19,253.289
100.419,154.581,253.289
101.027,153.973,253.289
101.636,153.364,253.289
102.244,152.756,253.289
102.853,152.147,253.289
103.462,151.538,253.289
104.07,150.93,253.289
104.679,150.321,253.289
105.287,149.713,253.289
105.896,149.104,253.289
106.504,148.496,253.289
107.113,147.887,253.289
107.722,147.278,253.289
108.33,146.67,253.289
108.939,146.061,253.289
109.547,145.453,253.289
110.156,144.844,253.289
110.764,144.236,253.289
111.373,143.627,253.289
111.982,143.018,253.289
112.59,142.41,253.289
113.199,141.801,253.289
113.807,141.193,253.289
114.416,140.584,253.289
115.024,139.976,253.289
115.633,139.367,253.289
116.241,138.759,253.289
116.85,138.15,253.289
117.459,137.541,253.289
118.067,136.933,253.289
118.676,136.324,253.289
119.284,135.716,253.289
119.893,135.107,253.289
120.501,134.499,253.289
121.11,133.89,253.289
121.719,133.281,253.289
122.327,132.673,253.289
122.936,132.064,253.289
123.544,131.456,253.289
124.153,130.847,253.289
124.761,130.239,253.289
125.37,129.63,253.289
125.979,129.021,253.289
126.587,128.413,253.289
127.196,127.804,253.289
127.804,127.196,253.289
128.413,126.587,253.289
129.021,125.979,253.289
129.63,125.37,253.289
130.239,124.761,253.289
130.847,124.153,253.289
131.456,123.544,253.289
132.064,122.936,253.289
132.673,122.327,253.289
133.281,121.719,253.289
133.89,121.11,253.289
134.499,120.501,253.289
135.107,119.893,253.289
135.716,119.284,253.289
136.324,118.676,253.289
136.933,118.067,253.289
137.541,117.459,253.289
138.15,116.85,253.289
138.758,116.242,253.289
139.367,115.633,253.289
139.976,115.024,253.289
140.584,114.416,253.289
141.193,113.807,253.289
141.801,113.199,253.289
142.41,112.59,253.289
143.018,111.982,253.289
143.627,111.373,253.289
144.236,110.764,253.289
144.844,110.156,253.289
145.453,109.547,253.289
146.061,108.939,253.289
146.67,108.33,253.289
147.278,107.722,253.289
147.887,107.113,253.289
148.496,106.504,253.289
149.104,105.896,253.289
149.713,105.287,253.289
150.321,104.679,253.289
150.93,104.07,253.289
151.538,103.462,253.289
152.147,102.853,253.289
152.756,102.244,253.289
153.364,101.636,253.289
153.973,101.027,253.289
154.581,100.419,253.289
155.19,99.8102,253.289
155.798,99.2016,253.289
156.407,98.593,253.289
157.016,97.9845,253.289
157.624,97.3759,253.289
158.233,96.7673,253.289
158.841,96.1588,253.289
